,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Black and White,Akira Kurosawa,153.0,202.0
Black and White,Aleksey German,121.0,177.0
Black and White,Alex Garland,489.0,108.0
Black and White,Alexander Payne,433.0,115.0
Black and White,Alfred Hitchcock,434.0,119.0
Black and White,Allan Dwan,40.0,109.0
Black and White,Andrei Tarkovsky,144.0,115.0
Black and White,Andrew Bujalski,52.0,109.0
Black and White,Andrew Currie,140.0,93.0
Black and White,Andrew Davis,106.0,117.0
Black and White,Andrew Leman,60.0,47.0
Black and White,Anton Corbijn,183.0,122.0
Black and White,Ari Kirschenbaum,8.0,84.0
Black and White,Barry Levinson,73.0,147.0
Black and White,Baz Luhrmann,209.0,127.0
Black and White,Bill Condon,315.0,111.5
Black and White,Billy Wilder,461.0,115.33333333333333
Black and White,Carl Theodor Dreyer,54.0,126.0
Black and White,Charles Chaplin,120.0,87.0
Black and White,Christopher Nolan,274.0,113.0
Black and White,Chuan Lu,149.0,132.0
Black and White,Clint Eastwood,169.0,130.0
Black and White,Craig Brewer,197.0,116.0
Black and White,D.W. Griffith,69.0,123.0
Black and White,Daniel Myrick,360.0,81.0
Black and White,Darren Aronofsky,138.0,84.0
Black and White,David Lynch,269.0,106.5
Black and White,David Sington,107.0,100.0
Black and White,Deborah Anderson,16.0,66.0
Black and White,E. Elias Merhige,196.0,92.0
Black and White,Elia Kazan,289.0,117.0
Black and White,Eric Nicholas,71.0,78.0
Black and White,Eugène Lourié,67.0,80.0
Black and White,F. Gary Gray,20.0,97.0
Black and White,Fenton Bailey,123.0,89.0
Black and White,Frank Borzage,42.0,79.0
Black and White,Frank Capra,271.0,103.66666666666667
Black and White,Frank Coraci,108.0,90.0
Black and White,Frank Miller,713.0,124.5
Black and White,Fred Zinnemann,254.0,101.5
Black and White,Fritz Lang,260.0,145.0
Black and White,Gary Fleder,86.0,130.0
Black and White,Gary Ross,175.0,140.0
Black and White,Georg Wilhelm Pabst,71.0,110.0
Black and White,George A. Romero,536.0,96.5
Black and White,George Clooney,351.0,93.0
Black and White,George Miller,177.0,87.0
Black and White,Guy Hamilton,34.0,110.0
Black and White,Guy Maddin,58.0,73.0
Black and White,Harry Beaumont,36.0,100.0
Black and White,Harry F. Millarde,1.0,110.0
Black and White,Henry Bean,84.0,98.0
Black and White,Henry King,10.0,106.0
Black and White,Henry Selick,310.0,100.0
Black and White,Hilary Brougher,8.0,81.0
Black and White,Howard Hawks,91.0,126.0
Black and White,Howard Hughes,35.0,96.0
Black and White,Iain Softley,193.0,104.0
Black and White,Irwin Winkler,174.0,126.5
Black and White,Ivan Kavanagh,12.0,83.0
Black and White,Jack Conway,12.0,119.0
Black and White,James Kerwin,25.0,89.0
Black and White,Jean-Luc Godard,36.0,94.0
Black and White,Jean-Paul Rappeneau,69.0,114.0
Black and White,Jean-Pierre Jeunet,242.0,122.0
Black and White,Jim Chuchu,6.0,60.0
Black and White,Joel Coen,77.0,111.0
Black and White,Joel Schumacher,153.0,143.0
Black and White,John Cromwell,7.0,101.0
Black and White,John Dahl,81.0,132.0
Black and White,John Ford,181.0,115.5
Black and White,John Frankenheimer,64.0,133.0
Black and White,John Huston,70.0,120.0
Black and White,John Reinhardt,1.0,68.0
Black and White,John Schlesinger,88.0,113.0
Black and White,John Singleton,41.0,130.0
Black and White,Jon Turteltaub,39.0,98.0
Black and White,Jonathan Kesselman,35.0,87.0
Black and White,Jonathan Wacks,13.0,93.0
Black and White,Joseph Green,95.0,70.0
Black and White,Julie Taymor,128.0,123.0
Black and White,Kar-Wai Wong,194.0,129.0
Black and White,Katt Shea,85.0,104.0
Black and White,Ken Annakin,53.0,178.0
Black and White,Kevin Rodney Sullivan,50.0,106.0
Black and White,Kevin Smith,310.0,99.5
Black and White,Kevin Spacey,113.0,118.0
Black and White,Khalid Mohamed,1.0,167.0
Black and White,King Vidor,48.0,151.0
Black and White,Larry Blamire,88.0,90.0
Black and White,Lawrence Kasdan,65.0,112.0
Black and White,Lee Tamahori,264.0,133.0
Black and White,Leon Ichaso,14.0,123.0
Black and White,Lloyd Bacon,65.0,89.0
Black and White,Lorene Scafaria,265.0,101.0
Black and White,Lowell Sherman,35.0,66.0
Black and White,Lucio Fulci,203.0,82.0
Black and White,Mark Sandrich,66.0,81.0
Black and White,Martin Campbell,400.0,144.0
Black and White,Martin Ritt,65.0,112.0
Black and White,Martin Scorsese,418.0,145.5
Black and White,Mary Lambert,49.0,105.0
Black and White,Mel Brooks,129.0,106.0
Black and White,Michael Bay,191.0,184.0
Black and White,Michael Crichton,23.0,110.0
Black and White,Michael Curtiz,24.0,100.0
Black and White,Michael Haneke,292.0,144.0
Black and White,Michael Mann,174.0,165.0
Black and White,Michael Moore,215.0,120.0
Black and White,Michael Roemer,24.0,95.0
Black and White,Michel Hazanavicius,576.0,100.0
Black and White,Morgan J. Freeman,17.0,86.0
Black and White,Moustapha Akkad,24.0,156.0
Black and White,Neil Jordan,44.0,133.0
Black and White,Noah Baumbach,345.0,86.0
Black and White,Norman Jewison,119.0,133.0
Black and White,Oliver Stone,547.0,186.33333333333334
Black and White,Orson Welles,90.0,92.0
Black and White,Paul Bunnell,94.0,106.0
Black and White,Pawel Pawlikowski,269.0,82.0
Black and White,Penny Marshall,41.0,128.0
Black and White,Phillip Noyce,198.0,97.0
Black and White,Quentin Tarantino,658.0,124.0
Black and White,Randy Moore,143.0,90.0
Black and White,Rawson Marshall Thurber,191.0,92.0
Black and White,Richard Attenborough,151.0,207.5
Black and White,Richard Brooks,106.0,110.5
Black and White,Richard Donner,61.0,132.0
Black and White,Richard Lester,105.0,87.0
Black and White,Richard Linklater,61.0,100.0
Black and White,Rob Marshall,428.0,115.5
Black and White,Rob Zombie,202.0,105.0
Black and White,Robert D. Webb,39.0,89.0
Black and White,Robert Mulligan,127.0,129.0
Black and White,Robert Rossen,100.0,134.0
Black and White,Robert Zemeckis,149.0,142.0
Black and White,Robinson Devor,18.0,88.0
Black and White,Roman Polanski,193.0,150.0
Black and White,Sam Raimi,63.0,107.0
Black and White,Shane Meadows,143.0,93.0
Black and White,Sidney Lumet,177.0,96.0
Black and White,Spike Lee,26.0,88.0
Black and White,Stacy Peralta,86.0,91.0
Black and White,Stanley Kramer,73.0,186.0
Black and White,Stanley Kubrick,295.0,123.5
Black and White,Stefen Fangmeier,170.0,104.0
Black and White,Stephen Chow,246.0,85.0
Black and White,Stephen Hopkins,88.0,89.0
Black and White,Stephen Norrington,202.0,110.0
Black and White,Steven Soderbergh,183.0,105.0
Black and White,Steven Spielberg,562.0,165.5
Black and White,Steven Zaillian,127.0,128.0
Black and White,Tay Garnett,7.0,119.0
Black and White,Tim Burton,518.0,107.0
Black and White,Tim Hunter,45.0,99.0
Black and White,Todd Haynes,231.0,135.0
Black and White,Tom DiCillo,10.0,97.0
Black and White,Tom Tykwer,181.0,81.0
Black and White,Tony Bill,123.0,140.0
Black and White,Tony Kaye,209.0,126.5
Black and White,Troy Duffy,100.0,102.0
Black and White,Victor Fleming,222.0,112.0
Black and White,Walter Hill,64.0,94.0
Black and White,Walter Lang,7.0,83.0
Black and White,William Arntz,74.0,109.0
Black and White,William Dear,41.0,118.0
Black and White,William Wyler,97.0,172.0
Black and White,Wolfgang Becker,153.0,121.0
Black and White,Woody Allen,164.0,100.5
Black and White,Yimou Zhang,283.0,80.0
Color,A. Raven Cruz,3.0,97.0
Color,Aaron Hann,29.0,87.0
Color,Aaron Schneider,160.0,100.0
Color,Aaron Seltzer,99.0,85.0
Color,Abel Ferrara,48.0,99.0
Color,Adam Brooks,160.0,112.0
Color,Adam Carolla,14.0,98.0
Color,Adam Goldberg,22.0,111.0
Color,Adam Green,229.0,93.0
Color,Adam Jay Epstein,14.0,76.0
Color,Adam Marcus,112.0,91.0
Color,Adam McKay,1481.0,119.16666666666667
Color,Adam Rapp,50.0,98.0
Color,Adam Rifkin,46.0,95.0
Color,Adam Shankman,1234.0,106.25
Color,Adrian Lyne,335.0,112.5
Color,Adrienne Shelly,173.0,108.0
Color,Agnieszka Holland,78.0,104.0
Color,Agnieszka Wojtowicz-Vosloo,138.0,104.0
Color,Agustín Díaz Yanes,31.0,145.0
Color,Aki Kaurismäki,205.0,93.0
Color,Akira Kurosawa,25.0,134.0
Color,Akiva Goldsman,189.0,118.0
Color,Akiva Schaffer,376.0,95.0
Color,Al Franklin,0.0,96.0
Color,Al Silliman Jr.,21.0,93.0
Color,Alain Resnais,129.0,104.0
Color,Alan Alda,6.0,107.0
Color,Alan Cohn,37.0,96.0
Color,Alan J. Pakula,109.0,126.0
Color,Alan Jacobs,1.0,92.0
Color,Alan Metter,17.0,83.0
Color,Alan Parker,316.0,136.66666666666666
Color,Alan Poul,148.0,104.0
Color,Alan Rudolph,42.0,110.0
Color,Alan Shapiro,23.0,95.0
Color,Alan Taylor,960.0,119.0
Color,Alan Yuen,23.0,118.0
Color,Albert Brooks,97.0,97.0
Color,Albert Hughes,561.0,112.33333333333333
Color,Alec Asten,1.0,82.0
Color,Alejandro Agresti,175.0,99.0
Color,Alejandro Amenábar,716.0,118.25
Color,Alejandro G. Iñárritu,2066.0,134.16666666666666
Color,Alejandro Monteverde,105.0,98.5
Color,Aleksandr Veledinskiy,8.0,120.0
Color,Alessandro Carloni,210.0,95.0
Color,Alex Cox,131.0,92.0
Color,Alex Craig Mann,29.0,87.0
Color,Alex Gibney,84.0,53.0
Color,Alex Kendrick,120.0,120.5
Color,Alex Proyas,1028.0,114.2
Color,Alex Ranarivelo,9.0,101.0
Color,Alex Rivera,47.0,90.0
Color,Alex Smith,17.0,112.0
Color,Alex Zamm,12.0,95.0
Color,Alex van Warmerdam,19.0,95.0
Color,Alexander Payne,1226.0,117.25
Color,Alexander Witt,191.0,98.0
Color,Alexandre Aja,1089.0,99.25
Color,Alfonso Cuarón,1557.0,112.0
Color,Alfred Hitchcock,461.0,114.16666666666667
Color,Alice Wu,54.0,96.0
Color,Alison Maclean,74.0,107.0
Color,Alister Grierson,244.0,108.0
Color,Allan Arkush,19.0,78.0
Color,Allen Coulter,158.0,113.0
Color,Allen Hughes,298.0,109.0
Color,Allison Anders,80.0,101.0
Color,Allison Burnett,8.0,100.0
Color,Amal Al-Agroobi,0.0,62.0
Color,Amanda Gusack,15.0,98.0
Color,Amat Escalante,87.0,105.0
Color,Amy Heckerling,341.0,94.25
Color,Amy Holden Jones,4.0,88.0
